region	Всего	<7	8-11	12-14	15-19	20-29	30-39	40-49	50-59	60+	Возраст не указал
АзССР	3205150	753271	326800	243722	252997	559293	426645	244119	163128	233955	1220
АрССР	1282338	321319	155764	110246	98019	188009	154751	93850	72642	87381	357
БССР	5568994	1085230	560416	451917	534007	984108	742851	475514	337874	395749	1328
ГрузССР	3540023	689354	345043	273635	321619	615104	459910	285296	238232	310878	952
КазССР	6151102	1112560	511817	462754	524294	1274879	1001220	584225	368096	309924	1333
КирССР	1458213	290207	141413	114977	135235	241818	210946	131235	86628	105522	232
РСФСР	109397463	20553752	10864585	8611186	9583931	19403905	16224228	9688513	7110272	7336747	20344
ТаджССР	1484440	332958	138243	111148	125938	266523	210287	124725	86276	87877	465
ТуркССР	1251883	251681	104151	92071	114138	246196	179798	106533	76225	80935	155
УзССР	6271269	1189378	577519	476256	545133	1124204	947935	562536	393459	453251	1598
УССР	30946218	5015368	2750523	2438985	2962621	5999357	4962463	3036795	1989330	1782888	7888
