census_group	group_duration	РСФСР	УССР	БССР	АзССР	ГрузССР	АрССР	ТуркССР	УзССР	ТаджССР	КазССР	КирССР
<7	8	20553752	5015368	1085230	753271	689354	321319	251681	1189378	332958	1112560	290207
8-11	4	10864585	2750523	560416	326800	345043	155764	104151	577519	138243	511817	141413
12-14	3	8611186	2438985	451917	243722	273635	110246	92071	476256	111148	462754	114977
15-19	5	9583931	2962621	534007	252997	321619	98019	114138	545133	125938	524294	135235
20-29	10	19403905	5999357	984108	559293	615104	188009	246196	1124204	266523	1274879	241818
30-39	10	16224228	4962463	742851	426645	459910	154751	179798	947935	210287	1001220	210946
40-49	10	9688513	3036795	475514	244119	285296	93850	106533	562536	124725	584225	131235
50-59	10	7110272	1989330	337874	163128	238232	72642	76225	393459	86276	368096	86628
60+		7336747	1782888	395749	233955	310878	87381	80935	453251	87877	309924	105522
Возраст не указал		20344	7888	1328	1220	952	357	155	1598	465	1333	232
