Австрия	Зарубежье
Агинский Бурят-Монгольский НО	РСФСР
Адыгейская АО	РСФСР
Азербайджанская ССР	АзССР
Армянская ССР	АрССР
Башкирская АССР	РСФСР
Белорусская ССР	БССР
Бурят-Монгольская АССР	РСФСР
Бурят-Монгольский НО	РСФСР
Бурятская АССР	РСФСР
Германия	Зарубежье
Грузинская ССР	ГрузССР
Дагестанская АССР	РСФСР
Еврейская АО	РСФСР
Кабардино-Балкарская АССР	РСФСР
Кабардинская АССР	РСФСР
Казахская ССР	КазССР
Калмыцкая АССР	РСФСР
Кара-Калпакская АССР	УзССР
Карачаевская АО	РСФСР
Карачаевская АО	РСФСР
Карело-Финская ССР	Карело-Финская ССР
Киргизская ССР	КирССР
Коми АССР	РСФСР
Коми-АССР	РСФСР
Коми-Пермяцкий НО	РСФСР
Корякский НО	РСФСР
Крымская АССР	РСФСР
Латвийская ССР	Латвийская ССР
Литовская ССР	Литовская ССР
Марийская АССР	РСФСР
Молдавская АССР	УССР
Молдавская ССР	Молдавская ССР
Молдовская ССР	Молдавская ССР
Мордовская АССР	РСФСР
Немцев Поволжья АССР	РСФСР
Ненецкий НО	РСФСР
Ойротская АО	РСФСР
Остяко-Вогульский НО	РСФСР
Польша	Зарубежье
Северо-Осетинская АССР	РСФСР
Таджикская ССР	ТаджССР
Таймырский НО	РСФСР
Татарская АССР	РСФСР
Тувинская АО	РСФСР
Тувинская АССР	РСФСР
Туркменская ССР	ТуркССР
Удмуртская АССР	РСФСР
Узбекская ССР	УзССР
Украинска ССР	УССР
Украинская ССР	УССР
Усть-Ордынский Бурят-Монгольский НО	РСФСР
Хакасская АО	РСФСР
Ханты-Мансийский НО	РСФСР
Черкесская АО	РСФСР
Чечено-Ингушская АССР	РСФСР
Чувашская АССР	РСФСР
Чукотский НО	РСФСР
Эвенкийский НО	РСФСР
Эстонская ССР	Эстонская ССР
Якутская АССР	РСФСР
Ямало-Ненецкий НО	РСФСР
