region	population	year	month	count	count_le_21	count_ge_22
Латвийская ССР	1905936	1939	1	0	0	0
Латвийская ССР	1905936	1939	2	5	5	0
Латвийская ССР	1905936	1939	3	0	0	0
Латвийская ССР	1905936	1939	4	0	0	0
Латвийская ССР	1905936	1939	5	12	2	10
Латвийская ССР	1905936	1939	6	0	0	0
Латвийская ССР	1905936	1939	7	0	0	0
Латвийская ССР	1905936	1939	8	0	0	0
Латвийская ССР	1905936	1939	9	3	3	0
Латвийская ССР	1905936	1939	10	7	4	3
Латвийская ССР	1905936	1939	11	1	0	1
Латвийская ССР	1905936	1939	12	0	0	0
Латвийская ССР	1905936	1940	1	0	0	0
Латвийская ССР	1905936	1940	2	10	1	9
Латвийская ССР	1905936	1940	3	7	0	7
Латвийская ССР	1905936	1940	4	0	0	0
Латвийская ССР	1905936	1940	5	0	0	0
Латвийская ССР	1905936	1940	6	4	0	4
Латвийская ССР	1905936	1940	7	1	0	1
Латвийская ССР	1905936	1940	8	1	1	0
Латвийская ССР	1905936	1940	9	11	6	5
Латвийская ССР	1905936	1940	10	6	6	0
Латвийская ССР	1905936	1940	11	2	1	1
Латвийская ССР	1905936	1940	12	2	2	0
Латвийская ССР	1905936	1941	1	4	1	3
Латвийская ССР	1905936	1941	2	2	0	2
Латвийская ССР	1905936	1941	3	2	1	1
Латвийская ССР	1905936	1941	4	8	2	6
Латвийская ССР	1905936	1941	5	2	1	1
Латвийская ССР	1905936	1941	6	226	60	166
Латвийская ССР	1905936	1941	7	122	40	82
Латвийская ССР	1905936	1941	8	136	21	115
Латвийская ССР	1905936	1941	9	40	9	31
Латвийская ССР	1905936	1941	10	46	15	31
Латвийская ССР	1905936	1941	11	12	11	1
Латвийская ССР	1905936	1941	12	20	6	14
Латвийская ССР	1905936	1942	1	24	6	18
Латвийская ССР	1905936	1942	2	18	5	13
Латвийская ССР	1905936	1942	3	20	1	19
Латвийская ССР	1905936	1942	4	5	3	2
Латвийская ССР	1905936	1942	5	9	4	5
Латвийская ССР	1905936	1942	6	7	4	4
Латвийская ССР	1905936	1942	7	9	5	5
Латвийская ССР	1905936	1942	8	17	12	5
Латвийская ССР	1905936	1942	9	13	7	7
Латвийская ССР	1905936	1942	10	6	2	5
Латвийская ССР	1905936	1942	11	4	4	0
Латвийская ССР	1905936	1942	12	9	3	6
Латвийская ССР	1905936	1943	1	16	11	5
Латвийская ССР	1905936	1943	2	7	6	1
Латвийская ССР	1905936	1943	3	11	3	8
Латвийская ССР	1905936	1943	4	8	5	3
Латвийская ССР	1905936	1943	5	5	1	4
Латвийская ССР	1905936	1943	6	7	4	3
Латвийская ССР	1905936	1943	7	6	1	5
Латвийская ССР	1905936	1943	8	5	3	2
Латвийская ССР	1905936	1943	9	5	5	0
Латвийская ССР	1905936	1943	10	3	3	0
Латвийская ССР	1905936	1943	11	9	6	3
Латвийская ССР	1905936	1943	12	5	3	3
Латвийская ССР	1905936	1944	1	35	14	21
Латвийская ССР	1905936	1944	2	26	5	21
Латвийская ССР	1905936	1944	3	23	5	18
Латвийская ССР	1905936	1944	4	27	9	18
Латвийская ССР	1905936	1944	5	15	4	11
Латвийская ССР	1905936	1944	6	65	21	44
Латвийская ССР	1905936	1944	7	456	171	285
Латвийская ССР	1905936	1944	8	3787	1613	2174
Латвийская ССР	1905936	1944	9	837	313	524
Латвийская ССР	1905936	1944	10	995	218	777
Латвийская ССР	1905936	1944	11	393	104	289
Латвийская ССР	1905936	1944	12	390	86	304
Латвийская ССР	1905936	1945	1	259	77	182
Латвийская ССР	1905936	1945	2	153	44	109
Латвийская ССР	1905936	1945	3	107	23	84
Латвийская ССР	1905936	1945	4	101	31	70
Латвийская ССР	1905936	1945	5	97	29	68
Латвийская ССР	1905936	1945	6	306	136	170
Латвийская ССР	1905936	1945	7	11	2	9
Латвийская ССР	1905936	1945	8	9	3	6
Латвийская ССР	1905936	1945	9	1	0	1
Латвийская ССР	1905936	1945	10	1	0	1
Латвийская ССР	1905936	1945	11	1	0	1
Латвийская ССР	1905936	1945	12	1	0	1
